name,category,website,x_handle,source_url,region,tags,priority,notes
Everyday Web3 X List,Mixed IRL Web3,,,"https://x.com/i/lists/1970082106794442856",Global,"irl,health,lifestyle,commerce,consumer",5,Primary list of 200+ companies from the creator
Blackbird Labs,Food & Drinks,https://www.blackbird.xyz,@blackbird_xyz,,US,"restaurants,loyalty,food,consumer",4,Restaurant and hospitality commerce angle
Solana Mobile,Mobile,https://solanamobile.com,@solanamobile,,Global,"mobile,consumer app,wallet",4,Consumer mobile and app ecosystem
Helium Mobile,Mobile,https://hellohelium.com,@helium_mobile,,US,"mobile,wireless,consumer",4,Real-world DePIN mobile product
Pudgy Penguins,Collectibles,https://pudgypenguins.com,@pudgypenguins,,Global,"collectibles,retail,community,brand",3,Good for physical-digital retail and brand adoption
Boys Club,Lifestyle & Events,https://www.boysclub.vip,@boysclubworld,,Global,"community,events,creator,media",3,Community and culture coverage
Cabin,Real Estate,https://cabin.city,@creatorcabins,,Global,"coliving,coworking,residency,dao",3,Residency and local community angle
ETHGlobal,Hackathons,https://ethglobal.com,@ETHGlobal,,Global,"hackathons,builders,events",4,Builder event coverage
Farcaster,Mobile,https://www.farcaster.xyz,@farcaster_xyz,,Global,"social,mobile,consumer,creator",4,Creator/social product announcements
Base,Lifestyle & Events,https://base.org,@base,,Global,"consumer apps,events,builders,onchain",4,Consumer and local builder ecosystem
